#separator:tab
#html:false
1 × 1 = {{c1::1}}
1 × 2 = {{c1::2}}
1 × 3 = {{c1::3}}
1 × 4 = {{c1::4}}
1 × 5 = {{c1::5}}
1 × 6 = {{c1::6}}
1 × 7 = {{c1::7}}
1 × 8 = {{c1::8}}
1 × 9 = {{c1::9}}
1 × 10 = {{c1::10}}
2 × 1 = {{c1::2}}
2 × 2 = {{c1::4}}
2 × 3 = {{c1::6}}
2 × 4 = {{c1::8}}
2 × 5 = {{c1::10}}
2 × 6 = {{c1::12}}
2 × 7 = {{c1::14}}
2 × 8 = {{c1::16}}
2 × 9 = {{c1::18}}
2 × 10 = {{c1::20}}
3 × 1 = {{c1::3}}
3 × 2 = {{c1::6}}
3 × 3 = {{c1::9}}
3 × 4 = {{c1::12}}
3 × 5 = {{c1::15}}
3 × 6 = {{c1::18}}
3 × 7 = {{c1::21}}
3 × 8 = {{c1::24}}
3 × 9 = {{c1::27}}
3 × 10 = {{c1::30}}
4 × 1 = {{c1::4}}
4 × 2 = {{c1::8}}
4 × 3 = {{c1::12}}
4 × 4 = {{c1::16}}
4 × 5 = {{c1::20}}
4 × 6 = {{c1::24}}
4 × 7 = {{c1::28}}
4 × 8 = {{c1::32}}
4 × 9 = {{c1::36}}
4 × 10 = {{c1::40}}
5 × 1 = {{c1::5}}
5 × 2 = {{c1::10}}
5 × 3 = {{c1::15}}
5 × 4 = {{c1::20}}
5 × 5 = {{c1::25}}
5 × 6 = {{c1::30}}
5 × 7 = {{c1::35}}
5 × 8 = {{c1::40}}
5 × 9 = {{c1::45}}
5 × 10 = {{c1::50}}
6 × 1 = {{c1::6}}
6 × 2 = {{c1::12}}
6 × 3 = {{c1::18}}
6 × 4 = {{c1::24}}
6 × 5 = {{c1::30}}
6 × 6 = {{c1::36}}
6 × 7 = {{c1::42}}
6 × 8 = {{c1::48}}
6 × 9 = {{c1::54}}
6 × 10 = {{c1::60}}
7 × 1 = {{c1::7}}
7 × 2 = {{c1::14}}
7 × 3 = {{c1::21}}
7 × 4 = {{c1::28}}
7 × 5 = {{c1::35}}
7 × 6 = {{c1::42}}
7 × 7 = {{c1::49}}
7 × 8 = {{c1::56}}
7 × 9 = {{c1::63}}
7 × 10 = {{c1::70}}
8 × 1 = {{c1::8}}
8 × 2 = {{c1::16}}
8 × 3 = {{c1::24}}
8 × 4 = {{c1::32}}
8 × 5 = {{c1::40}}
8 × 6 = {{c1::48}}
8 × 7 = {{c1::56}}
8 × 8 = {{c1::64}}
8 × 9 = {{c1::72}}
8 × 10 = {{c1::80}}
9 × 1 = {{c1::9}}
9 × 2 = {{c1::18}}
9 × 3 = {{c1::27}}
9 × 4 = {{c1::36}}
9 × 5 = {{c1::45}}
9 × 6 = {{c1::54}}
9 × 7 = {{c1::63}}
9 × 8 = {{c1::72}}
9 × 9 = {{c1::81}}
9 × 10 = {{c1::90}}
10 × 1 = {{c1::10}}
10 × 2 = {{c1::20}}
10 × 3 = {{c1::30}}
10 × 4 = {{c1::40}}
10 × 5 = {{c1::50}}
10 × 6 = {{c1::60}}
10 × 7 = {{c1::70}}
10 × 8 = {{c1::80}}
10 × 9 = {{c1::90}}
10 × 10 = {{c1::100}}
