#separator:tab
#html:false
0001	я	men	001	Местоимения	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0002	ты	sen	001	Местоимения	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0003	он, она, оно	u	001	Местоимения	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0004	мы	biz	001	Местоимения	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0005	вы	siz	001	Местоимения	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0006	они	ular	001	Местоимения	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0007	Здравствуй!	Salom!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0008	Здравствуйте!	Salom!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0009	Доброе утро!	Xayrli tong!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0010	Добрый день!	Xayrli kun!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0011	Добрый вечер!	Xayrli oqshom!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0012	здороваться	salomlashmoq	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0013	Привет!	Salom!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0014	привет, приветствие	salom	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0015	приветствовать	salom bermoq	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0016	Как дела?	Ishlar qanday?	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0017	Что нового?	Yangilik bormi?	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0018	До свидания!	Xayr!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0019	До скорой встречи!	Ko‘rishquncha xayr!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0020	Прощай! Прощайте!	Alvido!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0021	прощаться	xayrlashmoq	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0022	Пока!	Hozircha xayr!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0023	Спасибо!	Rahmat!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0024	Большое спасибо!	Katta rahmat!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0025	Пожалуйста (ответ)	Marhamat	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0026	Не стоит благодарности	Tashakkur bildirishga arzimaydi.	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0027	Не за что	Arzimaydi	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0028	Извини!	Kechir!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
0029	Извините!	Kechiring!	002	Приветствия. Прощания. Извинения. Благодарность	01	основные понятия / часть 1	1	ОСНОВНЫЕ ПОНЯТИЯ
