0|поймать
1|хлопать
2|танцевать
3|прыгать
4|прыгать
5|бегать
6|скакать
7|касаться
8|ходить
9|махать
10|дуть
11|копать
12|следовать
13|прятаться
14|обнимать
15|смеяться
16|смотреть
17|кричать
18|нюхать
19|пробовать
20|спорить
21|ползать
22|мечтать
23|уходить
24|похлопать
25|тянуть
26|извиняться
27|кричать
28|поворачиваться
29|ждать
30|шептать
31|зевать
32|Анубис
33|Бастет
34|кобра
35|иероглифы
36|пирамиды
37|Ра
38|Тот
39|гробница
40|клюв
41|когти
42|перья
43|плавники
44|шерсть
45|раковина
46|хвост
47|крыло
48|клык
49|копыто
50|рог
51|челюсти
52|лапы
53|чешуя
54|морда
55|усы
56|голубь
57|утка
58|орел
59|эму
60|фламинго
61|сова
62|попугай
63|малиновка
64|индейка
65|гриф
66|шарики
67|торт на день рождения
68|свечи
69|загадать желание
70|вечеринка
71|праздничные шляпы
72|подарок
73|серпантин
74|муравей
75|пчела
76|жук
77|бабочка
78|гусеница
79|таракан
80|стрекоза
81|муха
82|кузнечик
83|божья коровка
84|комар
85|паук
86|мыть машину
87|готовить
88|заправлять кровать
89|подметать пол
90|убирать
91|выгуливать собаку
92|стирать белье
93|мыть посуду
94|вытирать посуду
95|вытирать пыль
96|гладить
97|накрывать на стол
98|мыть пол
99|пылесосить
100|елка
101|эльф
102|падуб
103|подарок
104|северный олень
105|Санта
106|сани
107|снежинка
108|снеговик
109|рождественский чулок
110|шары
111|колокольчики
112|свеча
113|колядки
114|труба
115|хлопушка
116|гирлянда
117|поздравительная открытка
118|звезда
119|мишура
120|акробат
121|клоун
122|жонглер
123|фокусник
124|конферансье
125|силач
126|канатоходец
127|артист на трапеции
128|молчать
129|цвет
130|помогать
131|слушать
132|играть
133|указывать
134|петь
135|садиться
136|вставать
137|обводить
138|обводить
139|резать
140|проводить линию
141|нумеровать
142|сказать
143|отметить
144|подчеркнуть
145|писать
146|сумка
147|ремень
148|кепка
149|очки
150|перчатки
151|шляпа
152|платок
153|шарф
154|солнцезащитные очки
155|часы
156|пальто
157|платье
158|куртка
159|джинсы
160|свитер
161|сандалии
162|рубашка
163|ботинки
164|юбка
165|носки
166|футболка
167|брюки
168|блузка
169|сапоги
170|кардиган
171|шлепанцы
172|пижама
173|шорты
174|тапочки
175|галстук
176|колготки
177|кроссовки
178|трусы
179|жилет
180|черный
181|синий
182|коричневый
183|зеленый
184|серый
185|оранжевый
186|розовый
187|фиолетовый
188|красный
189|белый
190|желтый
191|чистить зубы
192|делать домашнее задание
193|одеваться
194|вставать
195|идти домой
196|ложиться спать
197|идти в школу
198|принимать душ
199|завтракать
200|ужинать
201|обедать
202|просыпаться
203|красивый
204|чистый
205|грязный
206|толстый
207|старый
208|низкий
209|высокий
210|худой
211|уродливый
212|молодой
213|большой
214|далекий
215|быстрый
216|длинный
217|близкий
218|короткий
219|медленный
220|маленький
221|сильный
222|слабый
223|Барионикс
224|Брахиозавр
225|Диплодок
226|Гиганотозавр
227|Игуанодон
228|Стегозавр
229|Трицератопс
230|Троодон
231|Тираннозавр Рекс
232|Велоцираптор
233|перейти дорогу
234|следовать указателям
235|идти по дороге
236|перейти через мост
237|пройти мимо
238|обойти круговой перекресток
239|идти прямо
240|пройти через тоннель
241|читать карту
242|остановиться
243|повернуть налево
244|повернуть направо
245|кола
246|горячий шоколад
247|сок
248|лимонад
249|молоко
250|молочный коктейль
251|чай
252|вода
253|корзина
254|цыплята
255|шоколад
256|пасхальные зайцы
257|пасхальные яйца
258|крестовые булочки
259|ягненок
260|гнездо
261|сердитый
262|скучающий
263|счастливый
264|голодный
265|грустный
266|испытывающий жажду
267|уставший
268|обеспокоенный
269|смущенный
270|смущенный
271|взволнованный
272|напуганный
273|шокированный
274|удивленный
275|альтернативная энергия
276|химические отходы
277|вырубка лесов
278|глобальное потепление
279|замусоривание
280|таяние ледников
