|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en
1783|1701|der|der Vogel|die Vögel|Der Vogel flog hoch in den Himmel.|bird|bird|The bird flew high into the sky.|noun|Am Himmel fliegen viele Vögel.|A lot of birds fly in the sky.
1784|1702|verb|beschränken|beschränken, beschränkt, beschränkte, hat beschränkt|Er beschränkte die Zugänge strikt.|to restrict|to restrict|He strictly restricted access.|verb|Der Text beschränkt sich auf die wichtigsten Fakten.|The text restricts itself to the most important facts.
1785|1703|die|die Branche|die Branchen|Die Branche wächst aktuell sehr stark.|sector, line of business|sector|The sector is growing fast.|noun|Das Arbeiten mit Aktien ist keine sichere Branche.|Working with stocks is not a safe sector.
1786|1704|der|der Schauspieler|die Schauspieler|Der Schauspieler gewann einen Preis.|actor|actor|The actor won an award.|noun|Das Theater sucht junge Schauspieler für ein neues Stück.|The theater is looking for young actors for a new play.
1787|1705|verb|vorschlagen|vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen|Er schlug vor, früher zu gehen.|to suggest|to suggest|He suggested leaving earlier.|verb|Katja schlägt vor, bei guten Wetter ans Meer zu fahren.|Katja suggests driving to the sea in good weather.
1788|1706|adv|beinahe||Er hätte beinahe den Zug verpasst.|almost, nearly|almost|He almost missed the train.|adverb|Wir haben beinahe den Zug verpasst.|We almost missed the train.
1789|1707|adj|jährlich||Das jährliche Fest zog viele an.|annual|annual|The annual festival attracted many.|adjective|Die Universität vergibt jährlich den Preis für den besten Professor.|The university awards the prize for the best professor annually.
1790|1708|die|die Botschaft|die Botschaften|Die Botschaft wurde deutlich vermittelt.|message|message|The message was clearly conveyed.|noun|Die Polizei glaubt, dass der Brief eine Botschaft enthält.|The police believe that the letter contains a message.
1791|1709|der|der Alltag|die Alltage|Der Alltag kehrte schnell zurück.|workday, daily routine, everyday life|daily routine|The daily routine quickly returned.|noun|Im Alltag tragen viele Menschen andere Kleidung als im Urlaub.|Many people wear different clothes in everyday life than on vacation.
1792|1710|der|der Umsatz|die Umsätze|Der Umsatz stieg im letzten Quartal.|turnover, sales|turnover|The turnover increased in the last quarter.|noun|Durch Werbung versuchen wir, den Umsatz unseres Geschäfts zu steigern.|We try to increase the turnover of our business through advertising.
1793|1711|der|der Verband|die Verbände|Der Verband muss gewechselt werden.|association, bandage|bandage|The bandage needs to be changed.|noun|Das Kind bekommt im Krankenhaus einen neuen Verband um seinen Arm.|The child gets a new bandage around his arm in the hospital.
